duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,label
2218398.0,2191528.0,2192676.0,9.0,17.0,60217.0,86113.0,601.0773450357,370.0094498819,4315.7269344816,3789735.65609057,0.0,60217.0,231.7348793482,1815.7413356553,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
3517813.0,3517813.0,3304404.0,6.0,7.0,324059.0,217426.0,1413.911977492,998.9129383313,1648.1831183181,1322206.43905745,1.0,217299.0,606.8333620838,8971.7215188467,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
13567657.0,13394098.0,13437531.0,0.0,0.0,3906748.0,3908013.0,10604.9865399842,5204.3109992254,283.5419556966,257925.299850962,-9.0,3777807.0,3527.7319292772,65256.4421527067,5816127.0,5816127.0,5816127.0,0.0,3777807.0,3777807.0,3777807.0,0.0,1
14697122.0,14567358.0,14567724.0,4.0,14.0,2447126.0,2406746.0,15799.737527115,6497.6467439786,215.4163243661,198402.925416282,4.0,2275153.0,4643.6404423381,51735.3826721319,5068736.0,5435233.5,5801731.0,518305.735074869,1141447.0,1708300.0,2275153.0,801651.200471252,1
270207.0,203681.0,244006.0,15.0,10.0,27147.0,66572.0,593.8221574344,363.1041666667,3763.7811011558,3479554.56372337,3.0,66526.0,265.9517716535,2648.2935975742,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
386584.0,319144.0,360487.0,23.0,10.0,37637.0,44652.0,1039.5570032573,527.7994143485,2566.0658485607,2427443.97077996,0.0,44652.0,390.0948536831,2772.2421345564,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
8208684.0,8078782.0,8078453.0,8.0,19.0,4969763.0,4934103.0,24934.512345679,13071.930420712,115.0001632418,100821.276589524,8.0,4800946.0,8704.8610816543,161152.892818387,1498361.0,3950167.5,6401974.0,3467378.00461437,1115996.0,2958471.0,4800946.0,2605653.13333318,1
728064.0,554359.0,594637.0,46.0,23.0,134823.0,174413.0,2060.8141263941,1039.5751748252,1157.865242616,1083473.43090717,8.0,173705.0,864.6840855107,8378.9534635911,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
10897973.0,10897973.0,10758647.0,13.0,10.0,7696125.0,7839899.0,23899.0635964912,18841.7635726795,94.4212286083,73078.2687753034,2.0,7696125.0,10601.1410505837,241447.12362863,10738389.0,10700000.0,10738389.0,0.0,7696125.0,7696125.0,7696125.0,0.0,1
1314540.0,1314535.0,1183635.0,7.0,17.0,132666.0,131525.0,4095.1246105919,2320.8529411765,633.6817441843,547879.866721439,1.0,131289.0,1579.9759615385,11183.8142083152,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
1605561.0,1580328.0,1578284.0,8.0,11.0,1387450.0,1387997.0,6246.3557312253,2901.2573529412,497.6453713064,434808.144941239,3.0,1361674.0,2011.9812030075,48241.0561846851,1415482.0,1415482.0,1415482.0,0.0,1361674.0,1361674.0,1361674.0,0.0,1
10552074.0,10526819.0,10526710.0,10.0,9.0,4689991.0,4689428.0,36050.75,19749.9249530957,78.3732183834,63003.8227556024,3.0,4663952.0,12774.9079903148,194617.096807474,4083099.0,4577457.5,5071816.0,699128.495373705,2943883.0,3803917.5,4663952.0,1216272.45400835,1
6613711.0,6548606.0,6588175.0,11.0,11.0,6146080.0,6106525.0,34107.3229166667,17429.0343915344,86.4869964835,76861.0844955275,1.0,6080986.0,11582.6812609457,254538.050087615,6385743.0,6385743.0,6385743.0,0.0,6080986.0,6080986.0,6080986.0,0.0,1
1301009.0,1301009.0,1060668.0,2.0,17.0,231368.0,202758.0,13552.1770833333,6095.7931034483,209.0684999105,186231.609466191,1.0,201387.0,4800.7712177122,29291.4764236475,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
13984772.0,13919756.0,13959212.0,2.0,14.0,5379801.0,5339900.0,99426.8285714286,58652.1512605042,27.1724129646,17973.2640617952,2.0,5314406.0,36899.1345646438,372352.529719081,5441654.0,6771591.5,8101529.0,1880815.6496083,4819591.0,5066998.5,5314406.0,349887.041931392,1
6496273.0,6431093.0,6470928.0,28.0,18.0,5323248.0,5284388.0,71456.5888888889,38748.0718562874,39.8690141255,33091.5895929866,7.0,5258623.0,25179.3527131783,331050.542898078,6404373.0,6404373.0,6404373.0,0.0,5258623.0,5258623.0,5258623.0,0.0,1
1356118.0,1330893.0,1330434.0,22.0,14.0,862241.0,823372.0,16636.1625,9050.5714285714,168.8643613609,138489.423486747,6.0,797958.0,5947.8859649123,54713.8622698557,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
6881637.0,6856085.0,6856099.0,6.0,13.0,1358719.0,1359104.0,44232.8064516129,30744.8385650224,55.2194194492,29391.1172588731,3.0,1333542.0,18157.3535620053,113971.920947506,1388633.0,2237905.0,3543205.0,1147395.43243971,1071144.0,1225598.66666667,1333542.0,137243.053364581,1
12958861.0,12828308.0,12824633.0,46.0,22.0,10010041.0,10141223.0,229076.928571429,103424.459677419,14.0444441838,12768.4832795104,8.0,10010041.0,71595.9171270718,749849.744618135,1580433.0,6414154.0,11247875.0,6835913.79492757,1311555.0,5660798.0,10010041.0,6150758.43665617,1
1301313.0,1123688.0,1095209.0,57.0,29.0,433543.0,467191.0,18124.0,9607.0964912281,136.7849241497,119994.190482997,4.0,232813.0,7352.0508474576,33936.3238367714,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
11918514.0,11788396.0,11787325.0,4.0,19.0,2514227.0,2517300.0,84202.8285714286,61713.7434554974,27.9397247006,13419.2064547644,4.0,2384854.0,35899.1385542169,170425.832093061,3836965.0,5797173.0,7757381.0,2772152.73867206,1618850.0,2001852.0,2384854.0,541646.622815097,1
601185075.0,1114228.0,600965621.0,20.0,22.0,224169.0,600070854.0,11728.7157894737,5834617.67961165,0.3326762561,236.5378082615,3.0,600070847.0,3021030.52763819,42500000.0,601185075.0,601000000.0,601185075.0,0.0,600070847.0,600000000.0,600070847.0,0.0,1
601404954.0,1295300.0,601185122.0,12.0,14.0,406429.0,600109667.0,15796.3414634146,5836748.75728155,0.310938576,235.3239677504,2.0,600109654.0,3233359.96774194,44000000.0,601404954.0,601000000.0,601404954.0,0.0,600109654.0,600000000.0,600109654.0,0.0,1
913511.0,913511.0,700410.0,27.0,8.0,266226.0,213899.0,11140.3780487805,7220.7216494845,198.1366398434,146530.255245969,2.0,213636.0,5075.0611111111,31449.9193273142,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
2176363.0,2176363.0,2047045.0,31.0,26.0,1214855.0,1383869.0,28264.4545454545,19311.7452830189,85.0042019645,61841.2461524112,2.0,1214855.0,11828.0597826087,91989.3364485082,1645791.0,1645791.0,1645791.0,0.0,1214855.0,1214855.0,1214855.0,0.0,1
6558546.0,6533147.0,6532937.0,12.0,16.0,4447110.0,4407535.0,79672.5243902439,49119.8270676692,33.0866018169,21470.7650140748,9.0,4382180.0,30363.6388888889,302893.221122321,6446153.0,6446153.0,6446153.0,0.0,4382180.0,4382180.0,4382180.0,0.0,1
11869689.0,11844521.0,11844095.0,1.0,6.0,4974101.0,4974127.0,66542.2528089888,51273.1385281385,34.6260125265,12553.825125494,1.0,4948747.0,28950.4609756098,289145.398678478,5132931.0,5841543.5,6550156.0,1002129.40796661,3112635.0,4030691.0,4948747.0,1298327.24621761,1
243280799.0,3287480.0,243252392.0,30.0,10.0,2426318.0,239993334.0,80182.4390243903,3378505.44444444,0.4727047941,402.4403093152,6.0,239993319.0,2134042.09649123,22500000.0,2628586.0,122000000.0,240652213.0,168000000.0,2426318.0,121000000.0,239993319.0,168000000.0,1
11208762.0,11078316.0,11076984.0,29.0,22.0,9989940.0,10127962.0,213044.538461538,145749.789473684,11.5980694389,8633.692106229,5.0,9989940.0,86889.6279069767,879331.798934704,11078316.0,11100000.0,11078316.0,0.0,9989940.0,9989940.0,9989940.0,0.0,1
55899.0,30362.0,29712.0,27.0,17.0,26231.0,25594.0,607.24,436.9411764706,2146.7289218054,1644966.81514875,3.0,26187.0,469.7394957983,3334.6590046548,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
2713771.0,2534989.0,2572664.0,31.0,19.0,731251.0,690675.0,36738.9710144928,30995.9518072289,56.7476032429,34306.5055968245,8.0,552437.0,17737.0653594771,67476.9677796737,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
840977.0,631649.0,632952.0,59.0,21.0,208580.0,209695.0,21054.9666666667,11508.2181818182,103.4511050837,92086.9417356242,3.0,209328.0,9778.8023255814,42588.8097454829,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
13441209.0,13441209.0,10216500.0,33.0,33.0,9997631.0,10050042.0,258484.788461538,185754.545454545,8.1093895646,5679.5486179852,8.0,9997631.0,124455.638888889,1006292.8754476,3223699.0,6720604.5,10217510.0,4945371.18443697,3171311.0,6584471.0,9997631.0,4826937.16254925,1
889711.0,701650.0,673562.0,57.0,23.0,241493.0,215448.0,24194.8275862069,12473.3703703704,95.5366405496,85054.5851405681,0.0,215979.0,10591.7976190476,43147.6307334523,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
14780134.0,14538180.0,14666993.0,4.0,0.0,954192.0,708070.0,242303.0,120221.254098361,12.4491428833,6420.8484172065,0.0,707989.0,80765.7595628415,170072.471709266,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
436245.0,257620.0,212252.0,59.0,22.0,182081.0,163608.0,9200.7142857143,3930.5925925926,192.5523501702,169794.496211991,3.0,181806.0,5255.9638554217,27094.3329989357,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
823694.0,644536.0,618284.0,106.0,26.0,206367.0,204949.0,22225.3793103448,11449.7037037037,103.1936617239,91775.5865649137,11.0,205258.0,9805.880952381,40873.6083743517,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
14960333.0,13378879.0,14960333.0,3.0,0.0,1115218.0,1477305.0,226760.661016949,127866.094017094,11.8981308772,5809.1621356289,0.0,1348247.0,84521.6553672316,189038.624742571,1348247.0,1348247.0,1348247.0,0.0,1348247.0,1348247.0,1348247.0,0.0,1
14965088.0,14911805.0,14964384.0,3.0,0.0,1051922.0,821744.0,196207.960526316,129003.310344828,12.9635054602,6940.4870856757,0.0,821744.0,77539.3160621762,154811.69738802,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1
14573708.0,14333378.0,14573708.0,3.0,0.0,1474974.0,1521001.0,199074.694444444,145737.08,11.9393087881,6606.2802959961,0.0,1474888.0,84241.0867052023,215007.839903852,4240162.0,4240162.0,4240162.0,0.0,1474888.0,1474888.0,1474888.0,0.0,1
14672885.0,14384854.0,14672885.0,4.0,0.0,2010729.0,1765560.0,293568.448979592,163032.055555556,9.6095621277,5342.8483900746,0.0,1765560.0,104806.321428571,247062.093519332,8092463.0,8092463.0,8092463.0,0.0,1765560.0,1765560.0,1765560.0,0.0,1
